documento;nome_cliente;status_cliente;vendedor_crm;ddd;data_cadastro;recencia;frequencia;monetario;ticket_medio;segmento;omnichannel;primeira_compra;ultima_compra
61.960.370/6191-70;Renata Rodrigues;active;Luciana;51;2022-05-25;159,0;7,0;4964,83;709,26;VIP;True;2022-03-28;2024-06-24
30.714.221/1466-96;Beatriz Silva;active;Bianca;31;2024-08-05;48,0;3,0;3115,2;1038,4;Leal;True;2024-04-02;2024-10-13
84.558.187/9322-31;Bruna Gomes;active;Keli;11;2022-03-23;11,0;4,0;2292,57;573,14;Leal;False;2023-06-15;2024-11-19
62.869.443/7949-11;Patricia Lima;active;Elaine;71;2024-09-06;3,0;5,0;2720,32;544,06;Leal;True;2022-01-14;2024-11-27
73.376.260/5555-67;Luiza Souza;active;Venda Direta;11;2023-05-03;69,0;5,0;5852,57;1170,51;VIP;True;2022-11-19;2024-09-22
31.352.847/9666-68;Camila Santos;active;Juliana;61;2022-03-23;249,0;3,0;1282,0;427,33;Em Risco;True;2022-04-03;2024-03-26
51.575.799/1189-71;Leticia Martins;active;Camila;61;2022-04-04;762,0;3,0;2447,36;815,79;Inativo;True;2022-02-11;2022-10-30
56.662.975/8734-73;Bruna Gomes;active;Débora;71;2022-12-09;108,0;4,0;2226,3;556,58;Leal;False;2022-04-24;2024-08-14
12.584.918/9838-30;Gabriela Souza;active;Bianca;11;2024-03-07;98,0;4,0;6754,24;1688,56;VIP;True;2022-10-22;2024-08-24
82.266.373/9792-69;Luiza Pereira;active;Aline;31;2022-12-27;187,0;3,0;2601,98;867,33;Leal;False;2022-10-30;2024-05-27
23.341.876/8513-62;Camila Nascimento;active;Juliana;91;2023-09-16;202,0;3,0;5111,34;1703,78;Em Risco;True;2022-03-14;2024-05-12
11.439.191/6486-69;Mariana Gomes;active;Renata;21;2024-05-17;264,0;3,0;1286,44;428,81;Em Risco;True;2023-01-03;2024-03-11
80.527.608/1775-56;Camila Souza;inactive;Adriana;51;2023-03-05;895,0;1,0;1204,1;1204,1;Inativo;False;2022-06-19;2022-06-19
44.305.180/2585-13;Camila Rodrigues;active;Keli;31;2022-06-20;105,0;5,0;3430,78;686,16;VIP;False;2023-05-23;2024-08-17
11.489.665/4843-63;Isabela Martins;active;Bianca;51;2023-08-01;126,0;4,0;1638,03;409,51;Leal;True;2023-05-26;2024-07-27
72.501.829/6675-43;Camila Martins;inactive;Priscila;71;2022-03-09;233,0;3,0;3340,47;1113,49;Em Risco;True;2022-05-05;2024-04-11
