numero_pedido;documento;vendedor;valor_pedido;data_pedido;origem_venda;canal;tipo_cupom;ano;mes;nome_mes;trimestre;dia_semana;ano_mes;semana_ano;faixa_valor;nome_cliente;status_cliente
PED100001;75.904.841/4875-63;Patrícia;224,98;2022-01-26;E-commerce;Link;Cashback;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$201-500;Luiza Martins;inactive
PED100002;77.350.423/8068-71;Luciana;253,13;2022-01-13;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$201-500;Maria Santos;active
PED100003;78.965.845/8334-26;Juliana;931,16;2022-01-22;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Saturday;2022-01;3;R$501-1000;Isabela Silva;active
PED100004;91.258.287/4390-92;Carla;696,58;2022-01-09;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Sunday;2022-01;1;R$501-1000;Clara Oliveira;active
PED100005;11.308.456/5435-94;Juliana;388,26;2022-01-14;E-commerce;Link;Desconto;2022;1;Jan;Q1/2022;Friday;2022-01;2;R$201-500;Ana Martins;inactive
PED100006;85.352.625/9943-63;Elaine;1532,44;2022-01-30;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;4;R$1001-2000;Luiza Oliveira;inactive
PED100007;21.695.115/8631-68;Adriana;555,2;2022-01-13;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$501-1000;Camila Santos;active
PED100008;21.218.652/3446-75;Keli;658,76;2022-01-13;E-commerce;Link;Sem Cupom;2022;1;Jan;Q1/2022;Thursday;2022-01;2;R$501-1000;Juliana Ferreira;active
PED100009;84.625.696/1839-12;Bianca;1082,93;2022-01-02;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$1001-2000;Maria Lima;active
PED100010;22.539.117/3741-86;Carla;795,07;2022-01-03;E-commerce;Site;Desconto;2022;1;Jan;Q1/2022;Monday;2022-01;1;R$501-1000;Patricia Gomes;active
PED100011;48.751.198/4981-31;Carla;1045,41;2022-01-15;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$1001-2000;Luiza Almeida;active
PED100012;37.358.713/4331-97;Camila;1135,74;2022-01-11;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;R$1001-2000;Natalia Almeida;active
PED100013;46.890.452/5589-57;Camila;786,86;2022-01-15;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Natalia Lima;inactive
PED100014;39.427.202/5782-35;Débora;388,74;2022-01-05;Loja Física;Loja;Desconto;2022;1;Jan;Q1/2022;Wednesday;2022-01;1;R$201-500;Isabela Oliveira;inactive
PED100015;76.834.982/4840-21;Vanessa;375,76;2022-01-26;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Wednesday;2022-01;4;R$201-500;Paula Oliveira;active
PED100016;10.684.439/6684-92;Aline;1659,08;2022-01-01;Loja Física;Loja;Parceiro;2022;1;Jan;Q1/2022;Saturday;2022-01;0;R$1001-2000;Renata Costa;active
PED100017;80.798.342/4157-37;Adriana;1019,24;2022-01-15;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$1001-2000;Patricia Santos;active
PED100018;90.646.218/7458-45;Bianca;855,83;2022-01-15;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Camila Gomes;active
PED100019;91.724.316/9000-73;Camila;1790,35;2022-01-01;E-commerce;Site;Frete Grátis;2022;1;Jan;Q1/2022;Saturday;2022-01;0;R$1001-2000;Sofia Rodrigues;active
PED100020;54.444.792/5286-36;Fernanda;555,09;2022-01-11;E-commerce;Site;Parceiro;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;R$501-1000;Renata Souza;active
PED100021;29.464.463/8819-71;Larissa;854,98;2022-01-11;Loja Física;Loja;Frete Grátis;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;R$501-1000;Bruna Carvalho;active
PED100022;30.918.649/4740-60;Bianca;279,48;2022-01-19;E-commerce;App;Desconto;2022;1;Jan;Q1/2022;Wednesday;2022-01;3;R$201-500;Sofia Ferreira;active
PED100023;40.617.582/1578-84;Renata;392,48;2022-01-08;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$201-500;Gabriela Lima;active
PED100024;47.591.236/1183-85;Fernanda;255,24;2022-01-02;E-commerce;Site;Sem Cupom;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$201-500;Patricia Lima;active
PED100025;52.834.312/6241-47;Camila;769,72;2022-01-08;E-commerce;App;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$501-1000;Patricia Santos;active
PED100026;24.346.630/3905-61;Débora;431,49;2022-01-02;E-commerce;Link;Frete Grátis;2022;1;Jan;Q1/2022;Sunday;2022-01;0;R$201-500;Amanda Almeida;active
PED100027;28.423.797/2349-66;Mariana;585,5;2022-01-17;E-commerce;Link;Parceiro;2022;1;Jan;Q1/2022;Monday;2022-01;3;R$501-1000;Camila Carvalho;active
PED100028;43.444.992/9236-15;Keli;141,92;2022-01-11;E-commerce;Link;Parceiro;2022;1;Jan;Q1/2022;Tuesday;2022-01;2;Até R$200;Gabriela Oliveira;active
PED100029;24.903.497/4695-87;Patrícia;981,96;2022-01-15;Loja Física;Loja;Sem Cupom;2022;1;Jan;Q1/2022;Saturday;2022-01;2;R$501-1000;Maria Nascimento;active
PED100030;14.294.382/1270-44;Patrícia;330,08;2022-01-06;E-commerce;Link;Parceiro;2022;1;Jan;Q1/2022;Thursday;2022-01;1;R$201-500;Gabriela Rodrigues;active
PED100031;24.456.626/4825-34;Camila;4486,72;2022-01-08;Loja Física;Loja;Cashback;2022;1;Jan;Q1/2022;Saturday;2022-01;1;R$2001-5000;Juliana Rodrigues;inactive
